,"data[, 1]",default,Predicted_data,CreditLimit,Sex,Education,MaritalStatus,Age,RPStatusSep,RPStatusAug,RPStatusJuly,RPStatusJune,RPStatusApril,BILL_AMT_August,BILL_AMT_July,BILL_AMT_May,BILL_AMT_April,PAY_AMT_Sept,PAY_AMT_August,PAY_AMT_July,PAY_AMT_June,PAY_AMT_May,PAY_AMT_April,Predicted_data
217,217,1,0,240000,2,2,1,36,1,-2,-2,-2,-2,-946,-946,-946,-946,0,0,0,0,0,0,0
218,218,0,1,80000,1,2,2,36,2,0,0,0,0,78501,78534,76235,78245,3100,3500,3400,3000,3500,3000,1
222,222,0,0,330000,2,3,2,45,0,0,0,0,0,334954,335527,335760,330121,12388,12378,12116,12450,12213,11678,0
231,231,0,0,50000,2,1,2,24,0,0,0,0,0,35796,30937,10385,1308,2090,2002,1002,238,1011,389,0
236,236,0,0,80000,1,1,2,35,-1,-1,-1,-1,-1,3977,6848,1378,19942,3983,6853,1719,1378,19942,2418,0
239,239,1,0,240000,2,3,1,50,0,0,0,0,0,231669,214642,210375,214694,10116,9150,8008,8000,8009,7714,0
240,240,1,0,140000,2,2,3,41,0,0,0,0,0,21708,22940,16409,16383,3000,2000,2198,1000,3000,2399,0
257,257,0,0,140000,2,2,1,48,0,-1,-1,-1,-1,1233,862,1130,21361,1233,1075,1355,1130,21361,1347,0
262,262,0,0,50000,1,2,2,29,0,0,0,0,0,35100,32563,29130,28309,1602,1400,3000,3130,1062,6318,0
264,264,0,0,230000,2,1,2,37,-2,-2,-2,-2,-2,50815,0,299,338,51315,0,0,299,338,0,0
266,266,0,0,150000,2,2,1,25,-1,-1,-2,-1,-1,0,0,316,316,0,0,316,316,316,316,0
269,269,0,0,40000,2,1,2,48,0,0,0,0,0,34449,33634,34762,35673,1600,1600,1500,1500,1500,1500,0
273,273,1,0,260000,2,1,2,58,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
274,274,0,0,200000,2,2,2,33,0,0,0,0,0,12852,14024,16325,11905,2000,1322,2000,2000,1200,3000,0
278,278,0,0,50000,2,1,2,26,-1,-1,-1,-1,-1,316,316,316,316,316,316,316,316,316,316,0
290,290,0,0,240000,2,2,1,46,0,0,0,0,0,9900,10605,11765,4311,1295,1000,1000,1000,1000,1000,0
295,295,0,0,130000,1,1,2,29,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1500,0
303,303,0,0,50000,2,3,1,40,0,0,0,0,0,51213,12104,13687,14458,2400,1206,1000,1000,1000,1000,0
311,311,0,0,400000,2,2,1,38,-1,0,-1,-1,-1,3600,1354,5103,2077,1000,1354,5322,6,2386,9085,0
314,314,1,0,200000,2,3,1,49,-1,2,2,2,0,51040,56205,58657,59983,0,6000,0,5000,2286,3000,0
315,315,0,0,100000,1,1,2,27,0,0,0,0,0,52557,33415,17580,6441,1631,1286,200,645,909,200,0
316,316,1,0,60000,1,2,2,23,0,0,0,0,0,33282,34312,17808,19346,1970,2000,618,809,2000,616,0
320,320,0,0,180000,1,2,2,29,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0
324,324,1,0,230000,2,2,1,28,0,0,0,-2,-1,18826,1100,767,6173,1710,1100,1000,767,6173,1000,0
327,327,1,0,220000,2,2,1,41,-1,2,2,-1,-1,650,325,475,325,325,0,950,0,325,325,0
332,332,1,0,130000,2,2,2,40,0,0,2,0,0,12394,11883,10167,12685,3000,0,500,500,2700,500,0
341,341,0,0,240000,2,2,2,30,-2,-2,-2,-2,-2,92,92,92,0,92,92,0,92,0,1883,0
346,346,0,0,160000,2,1,2,29,-1,-1,-2,-1,0,-707,-2697,6182,1654,0,0,5000,5000,1500,13000,0
353,353,1,0,380000,1,1,2,30,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
360,360,0,0,260000,1,1,1,34,-1,-1,-1,-1,-1,291,51058,34039,291,291,51058,35696,34039,291,291,0
363,363,0,1,50000,1,2,2,32,4,3,2,0,0,44741,43562,45008,25775,0,0,1262,1358,1275,1590,1
364,364,1,0,110000,1,1,1,40,1,-2,-1,0,-1,0,2066,216,216,0,2066,0,216,216,66,0
368,368,0,0,10000,1,2,2,24,-1,2,2,2,0,1923,2989,2008,2132,0,1500,0,0,150,0,0
371,371,1,1,180000,1,2,1,36,2,2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1
372,372,0,0,160000,1,1,2,30,-1,-1,-1,-1,-1,2977,15086,13028,21712,2977,15086,9123,13028,29712,50000,0
374,374,0,0,30000,1,3,3,54,0,0,0,0,0,22298,22352,24339,25943,2500,2000,1500,4000,2000,0,0
376,376,0,0,30000,1,3,1,58,0,0,0,0,0,20168,21229,21800,22437,1640,1700,915,800,1000,1961,0
377,377,0,0,30000,1,2,1,43,1,2,0,0,2,19901,20905,25183,24242,0,1342,946,4200,0,1000,0
384,384,1,0,170000,2,2,2,28,-1,0,0,2,0,3848,5646,5577,5889,1105,1903,0,296,500,95,0
388,388,1,0,80000,1,3,1,73,-1,0,0,2,2,65631,68875,72870,75018,3500,4330,3500,3500,3500,5100,0
393,393,0,0,310000,1,2,1,44,0,0,0,0,0,91989,87720,72090,71620,4400,4013,3011,3000,3001,2653,0
400,400,0,1,120000,2,2,2,25,2,2,2,2,2,120822,109887,119311,117167,4007,0,8272,5000,0,4400,1
407,407,0,0,120000,2,2,1,25,0,0,0,-2,-2,21393,0,0,0,6000,0,0,0,0,0,0
412,412,0,0,200000,2,1,1,38,-1,-1,-2,-1,-2,0,0,-150,-150,0,0,367,150,0,0,0
413,413,0,0,230000,2,1,1,32,1,-2,-1,-1,-1,0,2809,792,3404,0,2809,4606,792,3404,0,0
416,416,0,0,50000,2,3,1,35,-1,-1,-1,-2,-2,5000,0,0,0,5000,0,0,0,0,640,0
418,418,0,0,50000,2,1,2,30,0,0,0,0,2,16262,17286,19450,18990,2000,1600,1200,2000,0,1000,0
423,423,0,0,230000,2,2,2,38,-1,-1,-1,-1,-1,2795,1350,2980,0,2795,1350,371,2980,0,2213,0
427,427,1,1,20000,2,3,2,49,2,2,2,2,0,12081,13087,15327,16414,3000,1500,0,3123,1500,1000,1
435,435,0,0,360000,1,3,1,55,0,0,-1,-1,-2,8485,17231,0,0,6015,17454,1775,0,0,0,0
437,437,0,0,60000,2,1,2,27,-1,-1,-2,-1,-1,0,0,150,150,0,0,300,0,150,200,0
439,439,0,0,50000,2,1,1,25,0,0,0,0,0,50231,46677,21399,20859,2500,3008,1000,761,800,704,0
441,441,0,0,50000,1,2,2,23,-1,-1,-1,-1,0,350,400,12645,12584,350,400,1695,11300,485,2400,0
443,443,0,0,30000,2,1,2,26,1,-2,-1,-1,-1,0,945,197,2995,0,945,0,197,2995,0,0
445,445,1,0,240000,1,1,2,44,0,0,0,0,0,231443,234557,194410,198857,12026,9010,7400,8000,8000,7000,0
448,448,0,0,180000,2,1,1,53,-1,-1,-1,0,-1,1260,29366,0,1599,1260,29366,54,0,1599,0,0
450,450,0,0,140000,2,3,1,30,0,0,0,2,0,98007,82227,60848,58880,4505,12906,0,2210,2300,5200,0
457,457,0,0,130000,1,3,2,39,1,2,2,2,2,69329,74175,77217,75820,0,6000,0,6000,0,6000,0
458,458,0,0,50000,1,1,2,32,-1,0,0,0,-2,24131,25326,0,0,1800,1900,1300,0,0,0,0
460,460,1,0,70000,1,2,1,48,0,0,0,0,-1,39883,32017,9730,6400,2100,1217,500,0,6400,4590,0
464,464,0,0,230000,2,1,2,28,0,0,0,0,0,131255,110503,97599,96116,120093,8034,3013,4010,5882,3000,0
465,465,0,0,170000,2,3,3,56,1,-2,-1,-1,-1,0,1991,0,150,0,1991,0,0,150,614,0
466,466,1,0,230000,1,1,1,59,-1,0,0,0,0,206331,203813,198999,191671,7536,7277,7100,7120,6844,6945,0
474,474,0,0,60000,1,3,1,38,1,2,2,0,2,30321,31018,34213,35002,1800,1500,2000,2700,1500,0,0
478,478,0,0,70000,2,2,1,37,0,0,0,2,0,68200,72972,50610,50809,2518,5950,0,1782,1985,2700,0
485,485,0,0,100000,2,2,1,43,-1,-1,-1,-1,-1,1709,574,2306,2562,1709,574,556,2306,2562,2111,0
486,486,0,0,190000,1,2,1,31,0,0,0,0,0,180633,172914,115494,117465,7600,6303,4137,3502,4027,3517,0
489,489,1,0,220000,2,2,1,36,-1,-1,-1,0,-1,1648,792,396,396,1648,792,0,396,396,792,0
493,493,0,0,260000,1,2,2,30,0,0,0,2,0,100980,222102,68500,69174,4000,11900,207,2003,2003,2003,0
498,498,0,0,20000,1,2,2,23,0,0,2,0,0,20417,18333,30190,19664,7403,0,820,1025,1113,104,0
502,502,0,0,90000,2,2,1,35,1,2,2,2,2,22474,28067,31199,30548,0,6000,0,4500,0,2000,0
506,506,0,0,160000,1,1,2,35,-1,-1,-1,-1,-1,396,396,792,1220,396,396,0,793,1220,0,0
517,517,0,0,70000,1,3,1,32,0,0,0,0,0,67629,69188,69884,71284,3060,3300,2610,2750,2750,5500,0
518,518,0,0,50000,1,2,1,47,0,0,0,0,0,16695,21320,19003,19439,3000,5000,2000,618,679,500,0
520,520,0,0,290000,2,1,1,34,0,0,0,0,0,97708,103066,110151,115297,6000,7000,5000,7000,7000,7000,0
522,522,0,0,410000,2,2,2,27,1,-1,0,0,0,32991,36465,62408,61420,33049,16000,8700,18775,15000,5350,0
525,525,0,0,210000,2,1,2,32,0,0,0,0,0,69489,70937,73505,74827,3200,3200,2600,2900,2700,3000,0
531,531,0,0,50000,1,2,2,23,0,0,0,0,0,18552,19334,19322,19575,2836,1200,13000,1500,9000,1000,0
532,532,0,0,50000,1,2,3,30,0,0,0,0,0,49187,17518,18079,18302,2454,1588,780,803,673,637,0
534,534,1,1,100000,2,3,1,50,2,0,0,3,2,55030,61574,61198,62524,2050,7500,2500,0,2500,2500,1
535,535,0,0,50000,1,1,2,26,-2,-2,-2,-2,-2,3059,2333,1620,0,3068,2440,1807,2204,0,0,0
537,537,0,0,440000,2,1,2,35,0,0,0,0,0,337794,274075,216547,179221,13100,11000,10000,9000,7100,5500,0
543,543,1,1,30000,2,2,1,36,2,3,2,2,0,28039,28286,28189,28805,0,1000,0,1100,1100,1500,1
559,559,0,0,20000,1,2,2,29,0,0,0,-2,-2,18419,0,0,0,2055,0,0,0,0,0,0
561,561,0,0,270000,1,1,2,34,-1,-1,0,-1,-1,12006,15736,2457,14923,12006,5736,6621,2457,14923,1712,0
566,566,0,0,250000,2,3,2,35,-2,-2,-2,-2,-2,8472,1738,2391,11082,8514,1751,6739,2403,11137,13407,0
568,568,0,0,360000,1,1,2,28,-1,-1,-1,-1,-1,401,3545,10132,6220,1510,3575,10573,10155,6240,16071,0
569,569,0,0,50000,1,3,2,26,0,0,0,0,0,30626,30241,19166,19567,1537,1947,800,1000,718,683,0
576,576,1,1,290000,1,1,1,53,2,0,0,0,0,282024,282508,255892,238266,13000,10200,10265,8803,8300,8546,1
586,586,0,0,20000,2,1,2,25,0,0,0,0,2,15661,16394,18056,17618,1600,1300,600,1600,0,800,0
587,587,1,0,220000,1,1,1,43,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
591,591,0,0,230000,2,1,1,30,0,0,0,-1,0,25981,24092,56538,51522,5000,5000,65840,2000,2000,10000,0
594,594,0,0,80000,1,2,1,32,0,0,0,0,0,45955,44989,42379,38052,2145,1844,2009,5017,2000,5002,0
597,597,0,0,360000,1,2,2,29,0,0,0,0,0,263368,259969,245462,250244,9429,8738,7017,7154,7073,7300,0
599,599,0,1,80000,2,2,2,24,2,0,0,0,0,75254,58683,60035,57264,3249,3000,5000,2500,2300,2200,1
606,606,0,0,50000,1,1,2,34,1,2,2,2,2,22099,24121,25101,24549,0,2700,0,2200,0,1030,0
609,609,0,0,450000,2,3,1,36,-2,-2,-2,-2,-2,9120,8528,6368,3000,9120,8528,0,6368,3000,3238,0
611,611,0,0,220000,1,1,2,43,0,0,-1,-1,-1,25736,19292,13580,33150,1006,32906,18900,13580,33150,0,0
613,613,0,0,50000,1,2,1,37,0,0,0,0,0,48727,46228,43686,44573,2000,1684,1601,2000,2000,2000,0
615,615,0,0,190000,2,2,1,37,1,2,2,2,2,117856,119570,123528,125478,6000,5000,0,9000,4000,5000,0
616,616,0,0,150000,1,1,2,33,0,0,0,0,0,23168,23320,24149,3323,2100,1200,965,64,509,8399,0
617,617,0,0,200000,2,1,1,37,1,-2,-2,-2,-1,0,0,595,0,0,0,0,595,0,2370,0
618,618,0,0,270000,2,2,1,56,0,0,0,0,0,123769,104377,109294,101151,5000,5000,3953,4500,4000,3900,0
619,619,0,0,60000,1,1,2,25,0,0,0,0,0,53235,38533,39619,39140,2018,1900,2000,1500,1900,2000,0
631,631,0,0,100000,1,3,2,49,-1,-1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
635,635,0,0,110000,1,3,1,56,0,0,0,0,0,35758,34323,22628,23468,4086,1428,1318,2171,3198,4976,0
640,640,0,0,170000,1,2,2,31,0,0,0,0,0,58132,59171,53672,51461,3000,3000,2000,3000,3000,3000,0
642,642,0,0,130000,2,3,1,28,0,0,0,0,-2,50456,50000,0,0,2500,1000,0,0,0,0,0
643,643,0,0,210000,2,2,2,32,0,0,0,0,0,50486,54019,61630,65576,5000,5000,5000,4500,5000,5000,0
648,648,0,0,80000,2,2,2,24,0,0,0,0,0,77303,66396,56873,58390,3100,2586,2000,2500,3000,2500,0
650,650,0,1,20000,2,2,2,46,8,7,6,5,3,20795,20206,18737,18148,0,0,0,0,0,0,1
652,652,0,0,240000,2,2,2,26,0,0,-1,-1,-1,7500,7816,7500,14497,1000,7816,7500,7500,14497,500,0
655,655,0,0,10000,1,2,2,33,0,0,0,0,0,9131,9669,8049,6857,2500,1145,1000,1000,1000,1500,0
658,658,1,0,190000,2,1,2,28,0,0,0,0,0,48666,49347,43883,34412,2500,2000,3000,2000,2000,2000,0
662,662,1,0,90000,1,2,1,40,0,0,0,-1,-1,44925,0,1457,0,3114,0,787,1457,0,0,0
665,665,0,0,40000,2,2,1,32,0,0,0,2,2,25417,28777,29693,30456,2000,4110,1100,1200,1400,0,0
666,666,0,0,130000,2,3,1,43,0,0,0,0,0,129385,96775,97743,100124,5540,4403,3814,3562,4021,3681,0
677,677,1,1,190000,1,2,2,40,2,2,2,2,2,156765,159386,165725,169928,15000,6600,6500,6500,7000,7000,1
681,681,0,0,110000,2,2,3,45,0,0,0,0,0,20787,20566,22141,22158,1532,2000,783,3000,2000,2000,0
682,682,0,0,230000,2,1,2,29,-2,-2,-2,-2,-2,0,1024,0,0,0,1024,0,0,0,0,0
683,683,0,0,230000,2,1,1,35,0,0,0,0,-2,5432,6182,0,0,1250,1000,0,0,0,0,0
688,688,0,0,170000,2,2,2,27,0,0,0,0,0,166202,161973,161327,171863,7500,6000,10000,7000,16000,6200,0
693,693,1,1,200000,2,2,1,29,2,0,0,0,0,156955,132144,122211,125021,6163,4530,4500,5000,5000,5000,1
694,694,0,0,70000,1,1,2,30,0,0,2,0,2,59529,57571,60872,59329,5800,0,2250,4500,0,2500,0
695,695,0,0,320000,1,2,1,37,-2,-2,-2,-2,-2,498,429,5417,2967,500,431,14328,5439,2980,5028,0
698,698,0,0,90000,2,2,2,34,-1,2,2,-2,-2,7500,0,0,0,0,0,0,0,0,0,0
706,706,1,0,50000,1,1,2,26,-1,0,0,0,0,16392,18096,18619,19060,1500,2000,1500,1200,900,1000,0
715,715,0,0,400000,2,1,2,31,-2,-2,-2,-2,-2,767,664,-10,2174,770,667,1256,0,2184,0,0
716,716,0,0,50000,2,2,1,49,0,0,0,0,0,32275,31253,33573,29645,1613,2000,1500,2000,1645,1064,0
718,718,1,0,70000,2,2,1,33,0,0,0,0,0,68943,38783,1261,0,2382,2025,1000,25,0,1651,0
720,720,0,0,80000,2,2,2,48,0,0,0,0,0,41885,42832,11723,27236,3000,3413,2000,5000,17236,2000,0
722,722,1,0,10000,1,2,2,22,0,0,0,0,0,9649,8518,9293,5033,2000,1000,500,1500,0,2500,0
725,725,0,0,80000,2,2,2,34,0,0,0,2,2,27210,28783,29385,31401,2000,2338,2000,0,2500,0,0
734,734,0,0,160000,2,1,1,37,-1,-1,-1,-1,-1,316,0,632,0,316,0,316,632,0,316,0
737,737,0,0,150000,2,3,2,28,0,0,0,0,0,101886,101441,101913,96704,4000,4032,3410,4000,3665,3050,0
739,739,0,0,110000,2,1,2,25,0,0,0,0,0,94766,93894,86443,84011,4346,4075,3144,3238,3167,3202,0
741,741,0,0,170000,2,2,1,33,0,0,0,0,0,79574,78440,81862,84237,4380,3000,3000,3000,4000,4500,0
744,744,0,0,70000,1,1,2,51,0,0,0,2,0,43257,44115,39922,40150,3000,4000,0,1500,3000,5000,0
756,756,0,0,230000,1,2,2,58,0,0,0,0,0,112499,114837,45643,51083,5600,5700,5000,1855,6400,0,0
762,762,0,0,140000,2,2,2,24,-1,-1,-2,-1,-2,0,0,0,0,0,0,233,0,0,0,0
765,765,0,0,240000,2,2,1,33,0,0,0,0,0,233838,238067,238245,233710,10000,11000,10000,10000,10000,8000,0
766,766,0,0,510000,2,1,2,35,-1,0,0,0,-1,2116,5560,3488,1116,1117,4560,91,69,1116,2115,0
770,770,0,0,200000,2,1,1,35,-2,-2,-2,-2,-2,4261,1265,0,0,4266,1667,2473,0,0,0,0
775,775,0,0,50000,2,1,2,33,-1,2,-1,-1,-2,5180,31902,0,0,39,32013,11079,0,0,0,0
783,783,1,1,100000,2,1,2,28,2,2,2,2,2,81493,82759,85325,87096,3790,3200,3100,3200,3332,3280,1
786,786,0,0,500000,2,1,2,26,1,-2,-2,-2,-2,22150,0,0,0,22157,0,0,0,0,0,0
788,788,0,0,230000,2,1,1,35,-1,-1,-1,-1,0,191,1947,16160,32519,200,1950,11692,10000,20000,6000,0
790,790,0,0,60000,2,2,2,29,-1,0,0,0,-2,57833,9479,0,0,5000,1033,0,0,0,0,0
796,796,0,0,100000,2,2,1,30,0,0,0,0,0,74352,75004,78168,80347,2800,2700,5400,3500,3500,3200,0
802,802,1,1,20000,1,2,2,25,4,3,2,0,0,20005,19331,17363,16314,0,0,500,715,326,0,1
803,803,0,0,50000,2,3,1,44,-1,-1,-1,-1,0,780,0,10174,11104,780,0,7472,3000,1104,1000,0
808,808,1,0,20000,2,3,2,36,0,0,2,2,2,18873,19862,20532,19953,2400,1600,0,1600,209,0,0
809,809,0,0,190000,2,1,2,26,0,0,0,0,2,32129,33142,35758,35171,1750,1720,1300,2600,0,1400,0
812,812,0,0,700000,2,1,1,39,0,0,0,0,-1,102345,109636,2016,61707,5000,10000,326,2016,61707,17785,0
814,814,0,0,300000,2,3,1,29,-1,0,0,0,-1,21333,16212,11396,6138,2000,3000,0,5000,6202,0,0
816,816,0,0,280000,2,2,1,39,0,0,2,0,0,228963,223810,162244,108143,20300,0,5600,6300,4000,4000,0
817,817,1,1,70000,1,3,1,51,2,2,0,0,0,51384,49734,49185,47245,0,2100,1950,1900,2219,2100,1
820,820,0,0,60000,1,1,2,30,0,-1,0,0,0,4116,19453,18480,18848,4147,19435,1000,1000,1000,1000,0
822,822,1,0,50000,2,2,2,24,1,2,0,0,0,48082,48614,26036,26850,2000,2233,1083,1100,1400,3000,0
823,823,0,0,150000,1,2,1,50,-1,0,0,2,0,58255,36260,34631,63156,5085,4000,0,2000,30000,5000,0
824,824,0,0,20000,2,1,2,22,0,0,0,0,0,20400,19583,20196,19705,1410,1200,534,700,1000,0,0
828,828,0,0,10000,1,2,2,37,0,0,0,0,2,8158,7540,6963,5923,1167,1022,1036,0,2700,0,0
830,830,0,0,50000,2,2,1,48,0,-1,-1,0,0,4696,47225,9343,9693,2360,49325,3001,1882,500,503,0
831,831,0,0,320000,1,1,2,28,-1,0,0,-1,0,3477,3037,3633,0,2000,1000,1633,2000,0,3000,0
833,833,1,0,470000,2,2,1,27,0,0,0,0,0,62084,54551,97440,90717,3001,4005,2021,97441,5001,5001,0
834,834,0,0,230000,2,3,2,30,-1,-1,-1,0,0,0,13013,13659,0,0,13013,1252,3659,0,0,0
835,835,0,0,20000,2,1,2,23,0,0,0,0,-2,16988,15973,0,0,2000,2000,3000,0,0,0,0
837,837,0,1,80000,2,2,2,23,2,2,2,2,2,23837,24253,25126,25476,1600,1100,1000,1100,906,0,1
838,838,0,0,110000,2,2,1,55,0,0,0,0,0,16123,16850,18133,18828,1600,1300,1000,1000,1000,1000,0
